Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
Toaster,Cat2,3.73,1.98,5.98,8.29,7.17,7.79,1.48,3.85,8.27,505.07,2002.887267,1
Air Conditioner,Cat1,3.24,7.45,4.6,1.36,5.62,7.79,7.44,6.98,2.46,410.17,791.8261960000001,0
Microwave Oven,Cat2,3.79,8.43,7.34,6.2,4.62,7.47,4.36,7.58,7.83,584.54,1798.9340129999998,1
Stove,Cat1,5.09,6.81,0.15,2.62,7.92,0.43,1.33,6.26,1.84,262.16,740.4911739999999,0
Toaster,Cat2,0.23,5.79,4.54,9.97,6.01,0.5,2.82,9.71,7.66,257.97,1933.038916,1
Stove,Cat1,5.73,6.4,5.93,8.03,7.73,9.19,3.56,2.63,9.17,603.23,2086.8139369999994,1
Smartphone,Cat3,5.34,5.12,0.23,7.22,6.18,9.86,1.35,8.51,9.43,277.91,1474.1532929999998,0
Audio Equipment,Cat4,5.73,3.12,3.5,2.62,8.95,8.63,6.95,5.78,7.21,471.16,1048.3713510000002,0
Stove,Cat1,5.06,7.54,5.43,5.95,8.7,8.33,3.88,5.84,9.49,544.17,1683.459519,0
Vacuum Cleaner,Cat2,6.73,1.12,2.32,2.86,8.08,3.41,6.54,7.45,2.82,455.81,1049.9030819999998,0
Vacuum Cleaner,Cat2,3.94,1.33,9.6,2.33,3.24,9.99,5.44,7.43,3.44,708.97,1384.7694040000003,0
TV,Cat4,6.73,6.56,3.88,2.01,2.03,8.64,5.64,0.61,5.39,542.53,1049.7137089999999,0
TV,Cat4,2.54,6.2,9.25,0.89,4.2,9.57,0.38,5.38,3.78,624.22,1050.9824879999999,0
iPhone 11,Cat3,5.36,0.26,2.09,1.93,3.85,7.49,8.37,0.18,3.41,375.7,801.4247910000001,0
TV,Cat4,0.47,3.95,6.6,2.88,0.12,6.63,5.21,6.35,1.45,379.12,1014.195165,0
iPhone 11,Cat3,3.21,7.86,0.88,2.8,0.94,6.15,6.47,0.19,2.08,209.51,712.0652880000001,0
Air Conditioner,Cat1,0.5,2.42,8.31,7.64,5.33,2.8,9.76,7.64,6.5,471.34,1890.93803,1
Stove,Cat1,0.47,1.41,2.57,4.41,5.52,0.26,1.05,2.36,2.29,161.69,922.3273490000001,0
Microwave Oven,Cat2,6.27,1.42,4.61,1.59,7.01,6.13,1.44,4.38,3.04,556.12,1010.3081940000001,0
Stove,Cat1,1.46,4.61,5.51,3.03,1.22,7.79,2.09,4.42,1.5,369.77,1011.17702,0
Toaster,Cat2,0.2,6.73,8.45,3.05,1.45,7.75,1.09,2.44,8.03,466.61,1176.296553,0
iPhone 11,Cat3,8.94,4.32,4.29,8.45,4.67,0.93,1.31,4.13,7.86,671.7,2215.767646,1
iPhone 11,Cat3,4.19,4.83,3.38,3.64,2.39,9.52,4.52,3.33,2.75,389.96,1102.770185,0
Fridge,Cat1,6.4,0.94,2.2,1.54,6.99,4.13,7.59,9.76,0.58,433.06,814.975528,0
Iron,Cat2,8.12,9.75,3.99,5.19,0.62,0.55,0.67,0.5,6.9,618.38,1640.3820400000002,0
Smartphone,Cat3,0.25,1.69,9.42,1.22,9.05,4.55,0.75,2.62,9.45,518.2,969.5563550000002,0
Smartphone,Cat3,4.39,8.63,5.25,1.16,9.18,9.89,3.1,7.3,3.67,502.26,885.979577,0
Toaster,Cat2,5.05,8.9,0.61,2.24,6.82,1.73,2.84,2.71,7.87,286.05,718.387847,0
iPhone 11,Cat3,0.97,0.8,1.19,6.66,8.41,0.46,1.24,9.23,5.9,112.01,1189.79972,0
Air Conditioner,Cat1,7.03,1.4,2.73,7.96,0.34,8.93,0.28,4.08,9.83,492.68,1892.4373929999997,1
Fridge,Cat1,5.06,4.37,7.59,2.57,9.16,9.66,4.47,6.9,6.85,658.12,1331.5701850000003,0
Iron,Cat2,1.76,9.08,1.4,1.42,6.14,3.64,0.41,6.27,6.59,166.85,451.50102899999996,0
Toaster,Cat2,4.45,8.4,8.93,2.14,7.59,0.55,1.08,6.41,0.51,702.06,1339.0970110000003,0
Vacuum Cleaner,Cat2,1.1,8.33,2.15,3.42,2.47,5.44,1.54,9.8,9.46,174.16,780.636306,0
Microwave Oven,Cat2,3.08,6.54,3.23,1.5,2.97,3.75,2.78,4.87,9.41,328.26,691.529121,0
Speaker,Cat4,1.76,6.23,3.4,0.15,0.24,7.84,4.97,2.49,0.2,272.37,414.01867,0
Stove,Cat1,5.68,6.47,6.46,9.65,8.47,2.09,0.78,6.15,3.48,629.09,2377.5660879999996,1
Washing Machine,Cat1,7.2,4.52,8.74,4.71,6.41,0.63,9.04,7.68,1.41,824.77,1888.9518310000003,1
Smartphone,Cat3,2.02,6.24,2.19,8.2,4.85,9.82,9.28,1.35,0.86,220.42,1580.084856,0
Fridge,Cat1,5.95,1.38,5.81,7.04,7.93,5.84,2.93,3.76,6.26,604.68,1932.403526,1
Laptop,Cat3,5.14,3.73,6.13,3.96,3.43,0.56,3.98,9.31,2.38,583.21,1432.709648,0
Washing Machine,Cat1,6.94,6.51,4.12,9.67,7.24,6.22,5.17,5.0,9.14,565.7,2269.448034,1
Microwave Oven,Cat2,6.23,2.29,0.71,3.8,8.09,2.48,8.75,4.62,7.11,345.63,1035.292531,0
Air Conditioner,Cat1,2.09,6.85,9.96,8.11,1.3,0.14,4.26,1.42,5.4,640.31,2199.9814400000005,1
TV,Cat4,2.6,5.04,6.2,1.6,9.64,2.92,9.61,2.97,4.69,463.03,916.582579,0
Toaster,Cat2,9.03,2.23,8.02,0.12,5.43,8.73,4.53,9.19,6.33,874.93,1230.666893,0
Stove,Cat1,2.32,0.91,9.44,4.54,5.36,6.63,2.5,3.55,2.79,620.52,1613.4006989999998,0
TV,Cat4,8.98,6.94,1.76,5.31,2.68,3.88,0.88,4.28,2.15,539.63,1529.162895,0
Laptop,Cat3,4.75,1.47,6.7,6.29,2.01,3.16,7.62,3.27,3.1,593.32,1813.7885199999998,1
Iron,Cat2,1.62,3.29,4.9,7.29,8.31,3.48,8.97,8.09,5.29,344.21,1630.8123589999998,0
TV,Cat4,1.25,6.19,8.64,6.6,8.41,6.3,3.26,1.65,7.12,528.14,1806.624562,1
Monitor,Cat4,2.29,7.29,4.44,5.13,4.83,3.11,6.77,2.81,9.66,354.72,1303.9757060000002,0
TV,Cat4,1.14,10.0,5.99,3.67,7.2,5.55,1.45,5.45,6.75,382.9,1134.5671750000001,0
TV,Cat4,8.49,7.27,7.03,6.51,4.88,8.79,2.66,9.6,4.49,798.24,2112.205579,1
iPhone 11,Cat3,3.66,4.21,4.61,7.41,0.15,1.78,7.38,3.4,2.1,429.29,1753.0399099999997,1
Toaster,Cat2,3.45,4.29,3.31,0.19,5.32,1.79,7.81,6.6,5.7,349.44,515.80442,0
Smartphone,Cat3,3.02,9.43,7.66,3.12,2.44,2.03,3.38,3.1,7.09,564.3,1300.4199789999998,0
Audio Equipment,Cat4,7.54,6.32,1.94,6.31,5.82,9.07,2.35,6.37,1.93,478.3,1609.125573,0
Air Conditioner,Cat1,1.14,1.46,8.11,8.4,9.39,0.48,3.09,7.77,6.51,491.53,2031.222901,1
Laptop,Cat3,0.37,9.96,6.91,7.62,3.35,7.66,1.48,8.93,0.62,394.32,1773.569692,1
Microwave Oven,Cat2,0.92,9.94,0.69,4.89,9.53,1.84,1.94,5.08,9.32,88.04,880.5947119999998,0
Stove,Cat1,2.93,9.17,9.6,4.0,1.9,4.14,3.53,7.55,4.19,663.7,1588.2077490000001,0
Speaker,Cat4,4.67,1.0,8.69,8.08,2.73,6.09,0.78,9.88,5.21,695.81,2247.0696310000003,1
Stove,Cat1,4.41,1.65,5.22,4.13,9.95,6.22,7.13,0.38,9.47,497.58,1338.429507,0
Stove,Cat1,6.15,1.12,7.88,6.26,1.25,1.37,8.98,7.61,0.16,725.09,1991.1423160000002,1
TV,Cat4,8.5,6.57,2.13,9.54,0.43,5.05,7.94,7.25,7.38,535.65,2184.763658,1
Vacuum Cleaner,Cat2,8.32,2.95,2.8,3.12,2.43,5.85,2.72,8.08,4.03,560.67,1229.336573,0
iPhone 11,Cat3,2.37,6.36,3.3,1.49,7.14,5.3,3.33,2.15,2.2,297.11,651.5820499999999,0
TV,Cat4,9.88,3.64,9.86,6.88,8.07,8.3,9.34,0.95,2.85,1016.13,2481.612375,1
Iron,Cat2,4.44,8.99,8.15,4.15,5.28,2.17,9.43,0.7,7.68,660.11,1587.503178,0
Audio Equipment,Cat4,6.25,2.17,7.01,5.27,9.41,9.24,2.66,3.97,9.9,684.25,1774.7406199999998,1
Laptop,Cat3,7.17,1.57,0.39,8.78,8.58,1.49,2.7,4.73,9.15,374.25,1838.772615,1
Toaster,Cat2,7.18,8.94,6.88,8.61,5.86,1.63,3.5,7.5,8.34,726.67,2345.707604,1
Iron,Cat2,4.48,2.68,1.57,6.62,1.86,1.89,6.53,4.47,7.18,305.85,1433.7643380000002,0
Monitor,Cat4,8.18,7.05,4.57,5.29,9.07,5.17,0.48,3.11,1.27,651.06,1704.326587,0
Tablet,Cat3,1.29,0.41,5.15,5.57,7.42,1.41,5.0,8.86,7.19,339.69,1361.1368889999999,0
Iron,Cat2,5.27,0.29,0.96,5.31,7.8,6.43,0.36,7.58,0.68,310.78,1228.205218,0
Fridge,Cat1,6.65,8.43,6.35,7.66,3.62,5.09,3.5,6.56,5.72,671.97,2122.253882,1
Toaster,Cat2,7.54,3.2,6.82,1.03,1.28,9.94,4.69,7.85,5.4,737.94,1183.02143,0
Air Conditioner,Cat1,6.0,5.44,4.74,2.36,5.21,7.87,4.41,3.17,0.11,552.13,1127.3239310000001,0
Monitor,Cat4,3.27,3.75,8.27,7.69,0.43,6.28,2.82,3.95,8.85,606.06,2068.384055,1
Stove,Cat1,3.13,9.71,0.55,2.33,2.17,3.63,6.37,6.48,4.7,188.93,609.2397,0
Tablet,Cat3,7.54,0.9,6.4,9.45,5.5,6.14,8.53,7.26,9.63,714.11,2451.911723,1
Washing Machine,Cat1,1.67,9.39,3.07,4.07,3.52,8.38,6.91,1.28,6.51,252.14,992.4078109999998,0
Audio Equipment,Cat4,8.12,3.5,6.59,4.04,6.95,7.38,3.54,8.25,4.72,754.32,1667.191342,0
Stove,Cat1,4.71,6.67,8.96,5.62,7.6,8.24,5.61,4.19,0.73,715.6,1895.705183,1
Air Conditioner,Cat1,7.36,3.16,4.77,6.73,8.56,6.94,0.35,1.8,2.44,619.28,1889.2349440000003,1
Audio Equipment,Cat4,1.39,0.18,9.69,9.21,3.81,4.44,1.95,1.78,2.89,587.74,2299.0351290000003,1
Vacuum Cleaner,Cat2,5.24,7.48,2.66,3.71,4.07,2.35,9.47,4.43,0.97,404.38,1122.7738370000002,0
Laptop,Cat3,3.59,8.65,2.54,3.7,3.43,8.48,3.53,5.36,1.59,317.66,1010.437679,0
TV,Cat4,0.74,4.26,1.86,4.26,9.18,4.77,0.75,6.99,0.3,138.68,861.2396500000001,0
iPhone 11,Cat3,3.24,0.79,4.92,3.82,3.46,9.43,1.3,3.1,3.38,423.5,1192.649208,0
Washing Machine,Cat1,3.08,5.87,0.86,1.72,4.81,6.23,1.53,1.55,5.05,200.97,533.1121850000001,0
Stove,Cat1,2.71,5.11,7.77,4.31,2.56,5.03,2.16,7.78,9.01,552.54,1470.5567310000001,0
Audio Equipment,Cat4,5.85,2.95,2.18,8.63,2.41,2.33,8.95,9.8,5.88,406.02,1879.9901580000003,1
Air Conditioner,Cat1,4.33,2.0,6.12,5.89,5.07,3.21,1.88,6.33,4.48,541.95,1679.269188,0
Toaster,Cat2,2.16,2.41,6.94,5.6,2.63,2.29,6.4,3.37,4.09,479.45,1566.5597289999998,0
Stove,Cat1,1.75,5.23,5.81,9.66,3.65,9.35,8.58,0.48,1.36,400.52,2081.8572860000004,1
Washing Machine,Cat1,7.0,8.31,6.74,5.85,9.52,7.49,6.22,4.37,4.14,710.12,1895.0911940000003,1
Smartphone,Cat3,6.22,2.62,9.81,0.98,7.64,4.44,2.89,1.21,8.45,832.95,1334.962195,0
Iron,Cat2,1.51,2.83,7.58,5.98,3.21,9.29,8.67,9.16,8.48,482.18,1637.685218,0
Microwave Oven,Cat2,1.01,0.38,0.16,3.54,1.45,6.55,6.76,3.47,6.81,58.56,624.9754610000001,0
Air Conditioner,Cat1,6.61,3.33,9.07,3.56,6.68,1.33,0.54,8.91,9.77,812.79,1699.651817,0
Speaker,Cat4,1.55,3.76,6.05,5.48,3.27,1.68,4.58,1.98,4.56,402.56,1439.2976560000002,0
Audio Equipment,Cat4,7.77,5.33,6.15,7.69,5.69,2.86,3.61,6.05,3.33,714.5,2177.162103,1
Audio Equipment,Cat4,5.79,9.74,8.88,8.41,5.11,4.46,7.08,3.3,2.32,766.03,2391.397252,1
Speaker,Cat4,4.26,1.01,4.37,2.94,3.97,9.06,0.43,5.34,0.51,444.27,1075.141171,0
TV,Cat4,9.12,9.0,7.29,8.35,7.76,1.05,4.18,4.46,4.22,844.01,2458.9682919999996,1
Stove,Cat1,7.74,0.78,8.59,8.48,0.16,5.46,6.76,7.15,8.25,841.12,2491.097455,1
Iron,Cat2,1.59,7.14,3.66,0.59,6.54,9.99,5.59,3.33,9.78,278.6,493.79843800000003,0
iPhone 11,Cat3,8.88,6.17,8.49,7.39,6.3,8.91,7.88,0.71,7.07,895.02,2390.066327,1
Iron,Cat2,1.14,5.48,2.87,1.5,7.56,3.86,4.13,1.93,9.94,213.11,541.1758040000001,0
Monitor,Cat4,5.62,8.22,4.58,3.47,0.79,2.76,7.0,7.15,5.35,526.32,1265.290285,0
Laptop,Cat3,1.5,3.58,2.13,4.28,6.25,4.44,2.71,7.78,7.33,190.05,932.646613,0
Laptop,Cat3,2.06,5.05,0.53,6.01,1.17,8.49,1.13,9.19,6.7,132.69,1107.34053,0
Audio Equipment,Cat4,6.77,6.1,7.2,2.05,2.28,3.48,0.19,7.13,7.04,722.03,1326.6652540000002,0
Iron,Cat2,1.72,1.41,1.91,6.6,4.93,8.87,4.3,3.32,7.18,187.9,1286.133228,0
Washing Machine,Cat1,4.9,2.73,1.36,8.13,3.44,2.38,4.22,3.13,9.83,315.29,1676.904973,0
TV,Cat4,7.67,9.78,6.91,3.32,0.5,5.94,2.26,8.09,1.68,752.84,1559.397578,0
Laptop,Cat3,5.42,4.34,8.49,1.49,8.69,6.77,5.51,1.52,8.05,723.95,1259.2543150000001,0
iPhone 11,Cat3,1.97,5.62,8.64,5.67,6.57,0.29,8.11,2.81,2.74,563.06,1706.4028540000002,0
Smartphone,Cat3,6.53,7.32,3.72,5.18,3.3,3.63,0.73,4.65,1.86,524.49,1516.2360860000001,0
Microwave Oven,Cat2,5.81,7.72,7.76,5.24,6.67,5.41,0.62,9.22,1.74,705.89,1808.6478639999998,1
Speaker,Cat4,0.94,5.8,4.51,9.93,6.76,4.67,3.83,5.41,4.95,291.34,1968.5884749999996,1
Microwave Oven,Cat2,8.7,6.68,8.89,6.32,2.36,1.11,3.96,4.1,5.4,907.7,2245.57547,1
Smartphone,Cat3,2.37,7.09,0.83,6.79,3.3,6.2,1.81,3.57,0.95,165.15,1273.6520250000003,0
Air Conditioner,Cat1,6.0,0.48,1.9,7.35,4.94,4.64,1.6,8.49,4.07,397.05,1665.8931169999998,0
Monitor,Cat4,6.72,6.3,0.66,7.81,7.86,2.58,0.42,7.82,7.92,369.33,1686.8909119999998,0
Fridge,Cat1,6.72,7.82,2.18,2.08,0.28,4.23,7.76,2.58,5.19,451.56,923.295009,0
Laptop,Cat3,0.37,5.15,4.87,5.03,2.27,7.8,5.72,4.65,6.29,282.25,1202.333979,0
Washing Machine,Cat1,3.15,5.77,3.98,9.94,9.77,0.54,6.49,8.06,7.74,371.48,2064.1580139999996,1
Toaster,Cat2,6.59,9.21,1.54,7.35,0.72,9.15,1.92,5.53,6.81,411.78,1681.674721,0
Smartphone,Cat3,4.27,1.98,5.39,9.97,1.6,9.96,0.79,9.55,9.26,499.95,2248.957536000001,1
Microwave Oven,Cat2,3.34,9.85,6.04,7.96,3.82,5.39,8.88,7.49,4.77,493.54,1939.8536370000002,1
Vacuum Cleaner,Cat2,0.66,4.2,2.14,3.03,8.15,9.08,9.1,7.87,0.91,149.78,688.4792409999999,0
Air Conditioner,Cat1,7.97,3.53,5.62,1.12,4.1,9.95,5.11,0.93,4.01,695.0,1126.7801610000001,0
Microwave Oven,Cat2,5.76,8.87,0.62,2.59,2.18,7.84,9.96,3.26,4.98,321.5,817.6442579999999,0
Audio Equipment,Cat4,5.79,6.24,2.28,7.23,5.39,4.28,0.33,0.58,3.62,410.39,1670.4823219999998,0
Laptop,Cat3,2.24,2.24,9.51,5.17,9.05,1.77,3.64,7.46,6.57,621.06,1712.9560270000004,0
Stove,Cat1,7.9,4.72,3.97,4.17,1.0,9.4,0.6,8.09,4.12,603.78,1462.564082,0
TV,Cat4,0.77,7.18,3.39,1.15,5.56,5.89,0.25,6.27,8.46,223.78,507.71810600000003,0
Smartphone,Cat3,0.55,9.79,2.86,9.72,9.39,6.05,3.82,4.59,7.49,186.12,1782.0895290000003,1
Microwave Oven,Cat2,7.46,9.57,9.02,0.57,0.18,5.12,6.44,1.01,7.13,855.44,1290.8347229999997,0
iPhone 11,Cat3,3.93,5.43,7.12,3.82,7.63,3.36,6.29,3.18,1.03,577.88,1417.971843,0
iPhone 11,Cat3,2.56,7.42,6.36,4.72,8.16,4.1,7.51,7.48,9.55,471.01,1412.924695,0
Audio Equipment,Cat4,4.94,7.25,2.05,4.59,2.97,9.31,2.96,1.67,7.31,356.94,1191.069451,0
TV,Cat4,9.57,4.47,6.4,6.93,0.83,5.3,2.18,3.86,2.98,815.82,2190.3643779999993,1
Audio Equipment,Cat4,3.82,7.45,0.89,9.79,3.06,2.13,5.42,6.55,8.41,239.74,1833.668401,1
Air Conditioner,Cat1,2.36,1.15,2.64,0.1,6.57,9.23,4.15,9.93,2.83,258.34,377.255223,0
Fridge,Cat1,7.91,4.49,6.39,1.27,0.52,2.41,9.51,1.82,3.05,733.67,1209.334275,0
Speaker,Cat4,1.76,5.57,1.96,4.16,1.49,1.93,3.34,7.93,9.8,194.75,918.1268600000001,0
Microwave Oven,Cat2,0.95,7.0,7.58,2.08,4.77,4.4,3.46,7.95,4.85,456.98,1002.2269150000002,0
iPhone 11,Cat3,5.13,0.22,4.93,0.91,4.66,7.58,9.5,8.28,5.87,516.55,859.122447,0
Fridge,Cat1,4.54,0.26,9.76,8.68,7.21,9.14,4.23,7.98,4.14,746.45,2418.1935140000005,1
Washing Machine,Cat1,0.39,7.5,4.76,8.67,9.32,8.37,9.95,6.2,4.66,278.79,1761.297436,1
Washing Machine,Cat1,6.75,9.57,4.07,4.64,9.59,5.12,2.76,7.63,7.04,555.46,1476.859794,0
Speaker,Cat4,2.35,6.73,1.5,9.66,6.82,6.66,0.74,0.81,8.99,199.92,1771.248249,1
TV,Cat4,7.79,4.02,2.01,8.48,7.87,6.76,9.88,1.27,3.77,493.01,1964.496487,1
Vacuum Cleaner,Cat2,7.59,9.37,3.38,6.03,5.85,5.33,7.96,7.85,0.83,559.6,1688.3118429999997,0
Washing Machine,Cat1,0.92,9.31,2.96,2.15,4.77,1.33,9.93,7.83,3.32,209.23,639.167232,0
Air Conditioner,Cat1,7.91,2.46,9.5,2.61,2.62,9.61,2.68,8.28,9.26,899.31,1667.229216,0
iPhone 11,Cat3,9.42,1.16,3.93,9.44,3.42,2.08,1.18,6.39,8.34,674.19,2366.836364,1
Tablet,Cat3,3.09,7.13,2.77,7.67,6.6,9.9,6.85,6.95,6.19,304.61,1612.122669,0
Washing Machine,Cat1,3.64,4.4,5.81,5.13,2.3,7.57,9.92,9.17,1.33,492.85,1496.057893,0
Fridge,Cat1,1.97,4.29,5.44,1.51,0.41,9.01,1.46,9.85,1.93,390.91,801.257473,0
Stove,Cat1,3.45,9.07,2.76,1.27,6.88,4.16,2.59,8.07,1.53,322.77,643.2430629999999,0
Monitor,Cat4,5.53,0.71,5.97,5.93,8.52,9.36,4.77,6.05,4.98,592.3,1746.7926280000004,0
Monitor,Cat4,8.23,8.92,7.37,2.81,7.61,7.4,1.24,0.84,9.18,804.64,1551.653498,0
Washing Machine,Cat1,3.69,5.89,6.04,3.2,3.53,6.38,7.54,6.35,1.71,508.48,1219.999281,0
Iron,Cat2,2.1,0.5,6.64,2.48,0.69,1.56,2.42,4.37,3.14,459.29,1053.021364,0
Laptop,Cat3,0.48,4.2,5.97,0.8,8.37,8.58,2.22,6.75,9.9,346.15,641.8016800000001,0
Monitor,Cat4,9.63,3.02,9.6,1.29,1.52,1.67,6.7,7.25,6.81,989.34,1577.6643010000003,0
Air Conditioner,Cat1,7.36,0.44,3.06,5.18,7.85,7.7,2.26,7.7,0.86,526.1,1507.9437060000002,0
Speaker,Cat4,0.75,1.01,4.63,7.41,4.54,3.85,7.25,9.94,1.66,285.65,1571.3652559999998,0
Toaster,Cat2,3.74,5.17,9.32,6.25,1.72,9.28,1.32,0.13,3.21,686.3,1960.815251,1
Audio Equipment,Cat4,2.71,7.94,5.95,1.05,6.49,1.37,6.84,0.26,4.47,456.63,820.508337,0
Iron,Cat2,1.28,4.11,7.27,8.48,8.34,2.01,2.36,3.71,6.58,454.94,1986.7910580000002,1
iPhone 11,Cat3,7.09,9.59,2.78,5.41,7.55,7.17,0.8,6.39,4.35,503.06,1512.8222150000001,0
Laptop,Cat3,3.71,9.34,3.58,7.64,6.79,4.76,4.83,2.19,8.26,379.65,1713.417656,0
Fridge,Cat1,9.36,9.96,7.39,4.91,7.47,7.25,3.22,8.08,3.14,861.82,1949.858904,1
Smartphone,Cat3,6.25,8.74,6.25,0.34,1.76,8.52,5.24,3.4,5.41,647.17,955.1394610000001,0
Laptop,Cat3,8.02,9.04,4.61,3.11,9.48,8.72,4.74,6.39,3.65,646.55,1361.8228150000002,0
Iron,Cat2,6.79,4.49,2.18,8.92,0.18,1.59,1.53,3.63,3.28,453.04,1984.510788,1
Microwave Oven,Cat2,5.73,6.24,9.1,3.4,3.81,3.78,1.86,3.76,5.35,772.84,1625.5154550000002,0
Fridge,Cat1,4.56,1.12,5.13,2.86,2.48,5.76,7.13,7.35,4.91,499.71,1142.9568210000002,0
Smartphone,Cat3,6.32,3.52,0.91,0.89,6.2,6.6,7.77,6.98,9.17,361.52,607.288497,0
Laptop,Cat3,4.82,3.83,5.8,9.63,0.49,2.21,9.58,8.68,0.41,549.85,2265.1512909999997,1
Smartphone,Cat3,1.56,7.34,8.36,6.26,4.38,7.71,5.54,9.5,6.23,529.0,1751.5818729999994,1
iPhone 11,Cat3,9.88,1.38,9.04,9.94,4.93,3.46,1.18,6.46,1.89,970.76,2887.047649,1
Smartphone,Cat3,1.07,8.23,9.2,1.59,8.75,9.76,6.55,4.62,5.67,550.54,1066.381107,0
Fridge,Cat1,7.83,5.9,8.69,1.91,5.61,8.24,4.11,7.19,7.18,853.97,1491.449508,0
Vacuum Cleaner,Cat2,5.24,7.25,7.6,4.2,8.65,2.3,7.88,8.6,8.11,669.01,1598.7202710000001,0
Stove,Cat1,2.43,5.8,4.26,4.85,7.16,0.35,7.95,1.82,1.48,351.09,1253.221438,0
Stove,Cat1,7.61,9.48,9.88,8.58,0.61,6.43,6.96,3.67,3.26,908.87,2611.3240260000007,1
Microwave Oven,Cat2,7.28,9.14,8.51,3.84,7.89,8.1,6.6,2.29,4.11,819.18,1745.0488009999997,0
Air Conditioner,Cat1,8.46,2.8,3.8,1.39,9.29,1.42,1.75,5.58,0.75,621.06,1050.681895,0
Smartphone,Cat3,1.52,5.27,7.08,6.08,3.93,4.18,9.26,7.93,6.01,457.19,1615.4706909999998,0
Air Conditioner,Cat1,9.28,4.11,6.99,7.24,1.28,9.84,9.48,1.31,4.56,833.07,2268.120406000001,1
iPhone 11,Cat3,7.18,0.17,7.21,1.51,4.85,0.83,4.62,1.28,9.62,739.3,1263.556432,0
Fridge,Cat1,4.05,4.29,1.25,2.99,0.94,5.1,4.28,4.54,2.78,268.54,820.1259780000001,0
Audio Equipment,Cat4,9.07,8.31,6.4,2.65,9.09,9.81,8.43,6.35,5.35,793.65,1499.9925950000002,0
Tablet,Cat3,3.15,0.78,0.34,9.93,4.42,9.24,5.19,6.84,7.48,173.68,1763.1990279999998,1
Fridge,Cat1,7.67,9.53,8.62,3.63,5.3,3.9,5.24,3.0,1.34,844.35,1745.7596139999996,0
Audio Equipment,Cat4,1.62,8.79,0.93,5.46,6.99,3.76,0.21,3.64,6.36,134.64,1030.684476,0
Laptop,Cat3,4.08,2.0,6.05,6.12,8.29,9.32,4.52,7.64,0.9,526.08,1694.04403,0
Fridge,Cat1,5.63,0.24,9.94,7.76,4.7,5.57,2.98,4.43,6.93,809.54,2357.5461530000002,1
Washing Machine,Cat1,4.19,1.29,2.75,2.84,7.36,5.72,9.41,5.84,7.1,354.18,924.4078900000001,0
iPhone 11,Cat3,4.0,9.85,1.01,8.83,4.88,0.82,1.59,5.6,5.45,256.39,1707.9688250000002,0
Speaker,Cat4,5.83,3.74,3.71,1.7,8.99,1.48,7.66,0.43,4.34,487.54,929.3273040000001,0
Speaker,Cat4,9.4,0.48,3.46,5.61,2.81,8.35,8.25,3.85,9.75,647.74,1733.5036550000002,0
Smartphone,Cat3,3.06,0.16,5.93,8.79,1.69,0.64,2.5,6.49,9.33,468.22,2032.753943,1
Vacuum Cleaner,Cat2,9.64,9.45,3.82,3.42,8.73,7.12,9.42,3.46,7.69,684.02,1446.693789,0
Laptop,Cat3,8.95,5.36,4.4,0.26,2.08,4.72,3.51,7.89,3.83,678.71,956.9513729999999,0
Fridge,Cat1,6.97,4.24,1.75,2.03,2.56,2.21,7.06,2.55,6.71,438.75,892.780051,0
Stove,Cat1,8.91,5.89,9.66,0.53,3.94,6.29,0.41,4.63,8.92,958.94,1422.923692,0
iPhone 11,Cat3,8.61,2.87,5.78,2.71,0.82,7.93,6.85,2.41,4.88,734.56,1425.142868,0
Toaster,Cat2,6.3,2.68,7.38,1.31,3.13,7.6,0.24,7.33,6.52,706.71,1194.308662,0
TV,Cat4,6.48,7.82,5.26,1.19,2.01,2.5,2.44,1.73,3.44,604.79,1019.852494,0
Smartphone,Cat3,2.95,3.5,8.25,1.26,1.4,0.44,2.56,7.39,0.12,589.03,1049.867622,0
Laptop,Cat3,6.21,4.26,2.36,5.32,0.91,2.21,2.7,8.46,8.58,434.08,1404.9749480000003,0
Microwave Oven,Cat2,4.17,4.54,2.08,2.28,9.56,7.05,7.9,9.44,3.22,319.21,785.261172,0
Fridge,Cat1,9.36,0.99,2.65,1.06,9.02,4.16,2.93,6.41,3.7,602.67,960.5649,0
iPhone 11,Cat3,1.76,3.33,5.57,8.53,7.26,1.46,9.02,3.82,7.27,386.96,1885.9027869999998,1
Smartphone,Cat3,4.63,5.01,8.41,3.95,2.98,7.57,0.2,8.33,2.91,681.17,1585.6106310000002,0
Air Conditioner,Cat1,5.86,2.64,2.37,8.97,9.11,7.06,7.68,5.74,5.53,416.7,1948.6548930000001,1
iPhone 11,Cat3,6.31,7.21,0.66,7.07,3.34,4.47,0.12,4.73,5.02,349.67,1547.6032620000003,0
TV,Cat4,1.66,0.91,9.97,3.94,5.16,2.36,4.83,1.5,7.88,616.41,1522.2885080000003,0
Audio Equipment,Cat4,5.96,3.83,6.17,9.91,8.21,9.46,9.79,2.32,1.34,625.93,2409.563034,1
Iron,Cat2,8.33,3.38,9.02,6.26,2.29,0.56,2.03,3.41,0.86,894.58,2220.685376,1
Laptop,Cat3,0.96,9.51,9.1,9.63,5.37,5.08,8.44,4.05,7.35,540.38,2298.6829650000004,1
Smartphone,Cat3,1.04,8.02,9.24,1.99,2.48,1.04,0.89,0.5,1.92,550.84,1129.0803320000002,0
