Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Metals,Avg_Metal_Value,Profit_per_Metal,Precious_Ratio,Recovery_Status
Iron,1,6.6,0.91,8.89,2.24,6.52,6.64,2.27,6.88,5.31,801.37,38.75,5.535714285714286,20.68051612903226,0.28722580645161294,1
Laptop,2,9.84,3.13,7.93,5.16,7.62,9.32,9.04,0.95,4.58,910.47,44.6,6.371428571428572,20.414125560538118,0.2934977578475336,1
TV,3,4.23,4.47,7.21,5.5,3.74,8.29,8.11,2.23,2.25,596.93,37.33,5.332857142857143,15.990624162871685,0.34047682828824005,1
Monitor,3,9.68,4.7,2.73,6.15,9.59,8.41,6.3,9.52,9.92,624.9,52.620000000000005,7.517142857142858,11.875712656784492,0.16875712656784492,1
Stove,0,7.73,3.13,2.97,0.63,9.13,0.71,7.57,0.8,8.86,540.89,30.67,4.381428571428572,17.635800456472122,0.11737854581023802,1
Stove,0,8.13,3.66,4.59,2.0,3.47,6.49,4.31,6.15,7.27,647.68,34.28,4.897142857142858,18.893815635939323,0.1922403733955659,1
Washing Machine,0,2.45,1.79,6.56,1.36,8.45,9.36,3.05,2.23,1.72,473.19,32.73,4.675714285714285,14.457378551787352,0.24197983501374887,1
TV,3,6.78,8.17,4.59,1.74,5.76,2.39,9.16,5.69,1.23,583.89,30.560000000000002,4.365714285714286,19.106348167539267,0.20713350785340312,1
Fridge,0,5.07,4.31,4.41,2.55,4.03,5.67,4.5,7.48,9.87,488.04,38.51,5.501428571428571,12.673071929368996,0.1807322773305635,1
Toaster,1,2.38,3.47,8.68,6.35,0.5,7.42,4.12,3.63,1.27,584.16,31.97,4.567142857142857,18.272130121989363,0.47012824522990304,1
Laptop,2,7.94,2.47,2.1,2.97,2.02,1.78,9.56,5.85,6.23,504.14,30.51,4.3585714285714285,16.52376270075385,0.16617502458210423,1
Stove,0,1.72,1.63,7.1,7.24,8.49,0.84,3.13,4.09,8.6,466.01,39.489999999999995,5.641428571428571,11.800709040263358,0.3631299063053938,1
Speaker,3,5.13,0.24,0.93,1.34,3.98,5.47,4.95,8.48,2.81,302.19,27.959999999999997,3.9942857142857138,10.807939914163091,0.08118741058655222,1
Audio Equipment,3,3.88,0.42,4.91,1.85,0.76,8.75,7.5,3.88,2.34,454.14,29.99,4.284285714285714,15.143047682560853,0.22540846948982995,1
Fridge,0,1.53,5.75,8.89,6.08,5.19,1.78,0.79,2.02,9.85,554.91,34.6,4.942857142857143,16.0378612716763,0.4326589595375723,1
Monitor,3,5.84,9.11,9.65,0.69,6.27,1.64,3.89,1.28,2.57,809.35,25.990000000000002,3.712857142857143,31.140823393612926,0.39784532512504805,1
Washing Machine,0,9.96,8.07,2.18,0.72,6.95,6.75,4.55,7.87,4.36,611.05,33.38,4.768571428571429,18.305871779508685,0.08687837028160575,1
Audio Equipment,3,6.79,4.97,0.71,0.63,4.65,5.6,3.06,9.14,7.07,374.69,30.86,4.408571428571428,12.141607258587168,0.043421905379131556,1
Iron,1,8.83,6.39,1.24,8.99,8.79,2.58,3.0,3.57,9.64,504.14,37.81,5.401428571428572,13.333509653530811,0.2705633430309442,1
Monitor,3,2.06,5.64,2.55,8.72,7.71,8.38,3.83,4.82,1.44,241.35,37.449999999999996,5.35,6.444592790387183,0.30093457943925234,0
iPhone 11,2,6.8,9.94,5.65,3.77,5.67,6.23,8.03,9.7,4.61,642.75,43.66,6.237142857142857,14.721713238662392,0.21575813101236832,1
Speaker,3,5.95,5.88,8.96,9.38,0.67,7.16,7.68,8.55,3.65,775.96,46.050000000000004,6.578571428571429,16.850380021715527,0.3982627578718784,1
Smartphone,2,9.12,3.14,1.07,7.22,7.76,1.2,9.19,4.55,0.33,507.38,31.319999999999997,4.474285714285714,16.199872286079184,0.26468710089399744,1
Vacuum Cleaner,1,2.7,1.46,7.79,5.03,2.68,1.49,5.06,0.45,1.05,550.97,23.549999999999997,3.364285714285714,23.39575371549894,0.5443736730360935,1
Speaker,3,8.93,6.19,7.37,4.11,3.5,9.01,0.58,9.65,1.19,837.44,35.41,5.058571428571428,23.64981643603502,0.32420220276757983,1
Vacuum Cleaner,1,3.28,0.69,2.03,9.28,6.27,3.25,6.99,3.58,0.41,270.48,31.81,4.5442857142857145,8.50298648223829,0.3555485696321911,0
Fridge,0,6.46,2.98,3.97,6.21,0.22,0.31,1.77,3.97,6.56,531.85,23.009999999999998,3.287142857142857,23.113863537592355,0.4424163407214255,1
Vacuum Cleaner,1,6.48,7.43,8.87,9.87,7.39,7.53,6.7,1.23,9.77,798.17,51.36,7.337142857142857,15.540693146417444,0.36487538940809966,1
Monitor,3,4.97,8.72,3.39,6.83,9.52,2.35,1.4,1.0,3.27,431.02,27.76,3.9657142857142857,15.52665706051873,0.3681556195965418,1
Microwave Oven,1,1.21,5.21,3.24,8.76,3.06,8.0,3.9,2.76,6.62,236.23,36.339999999999996,5.191428571428571,6.500550357732527,0.33021463951568525,0
Stove,0,6.86,3.54,7.5,0.47,3.33,1.29,7.37,8.8,0.21,741.03,28.970000000000002,4.138571428571429,25.579219882637208,0.2751121850189851,1
Tablet,2,3.54,3.76,1.54,2.05,7.12,0.19,3.99,3.3,1.4,258.71,19.59,2.7985714285714285,13.20622766717713,0.18325676365492596,0
Laptop,2,3.67,5.53,8.27,2.02,7.11,3.46,3.14,5.64,1.53,626.78,31.17,4.452857142857143,20.108437600256654,0.3301251203079884,1
Vacuum Cleaner,1,0.12,2.7,1.03,7.49,9.3,0.83,7.32,6.66,4.46,62.78,37.089999999999996,5.298571428571428,1.6926395254785658,0.229711512537072,0
Laptop,2,7.73,2.39,7.97,0.69,0.16,2.32,7.69,6.92,6.47,808.28,32.22,4.602857142857142,25.086281812538797,0.26877715704531346,1
Audio Equipment,3,4.39,0.73,3.73,7.86,4.85,9.19,5.97,7.92,0.18,416.22,39.699999999999996,5.671428571428571,10.48413098236776,0.2919395465994962,1
Monitor,3,5.09,3.86,4.78,0.27,7.01,5.74,3.27,1.06,0.69,508.64,22.82,3.2600000000000002,22.289219982471515,0.2212971078001753,1
Toaster,1,6.47,6.11,8.72,2.4,4.02,2.83,3.29,9.28,8.04,788.75,38.58,5.511428571428572,20.44453084499741,0.28823224468636605,1
Stove,0,2.22,7.55,0.45,6.44,7.42,2.96,9.15,4.38,3.48,137.68,34.28,4.897142857142858,4.016336056009335,0.20099183197199535,0
Smartphone,2,5.53,7.99,4.46,9.66,2.62,0.92,3.32,2.84,2.83,515.33,26.650000000000006,3.807142857142858,19.33696060037523,0.5298311444652908,1
Monitor,3,9.14,5.1,3.19,0.16,7.65,1.7,1.68,5.08,0.69,623.09,20.150000000000002,2.878571428571429,30.92258064516129,0.1662531017369727,1
Tablet,2,1.87,1.1,7.72,3.17,5.07,4.52,9.02,7.0,0.79,506.31,37.29,5.327142857142857,13.577634754625905,0.2920353982300885,1
Microwave Oven,1,3.66,1.05,7.99,1.46,9.59,0.63,4.47,1.96,4.9,608.7,31.0,4.428571428571429,19.635483870967743,0.30483870967741933,1
Microwave Oven,1,5.06,2.21,7.45,1.01,3.2,8.32,1.12,8.0,2.07,649.27,31.17,4.452857142857143,20.829964709656718,0.2714148219441771,1
Air Conditioner,0,7.97,0.61,7.47,7.52,2.56,1.83,3.23,1.91,7.53,792.28,32.05,4.578571428571428,24.7201248049922,0.4677067082683307,1
Speaker,3,0.14,2.47,9.74,1.62,6.66,1.76,2.51,0.41,8.81,530.3,31.509999999999998,4.501428571428571,16.829577911774038,0.3605204696921612,1
TV,3,1.45,7.25,0.24,1.02,8.22,6.78,9.65,4.46,1.97,88.5,32.34,4.62,2.7365491651205933,0.03896103896103896,0
Vacuum Cleaner,1,7.58,2.13,8.88,0.39,0.17,9.3,2.2,2.96,5.23,849.65,29.130000000000003,4.161428571428572,29.167524888431167,0.31822863027806386,1
Audio Equipment,3,7.5,1.14,0.58,2.35,0.24,1.91,0.61,2.26,9.46,400.29,17.41,2.487142857142857,22.99195864445721,0.16829408385985067,1
Speaker,3,7.8,5.02,3.63,1.51,8.43,8.04,4.42,4.34,3.89,580.9,34.26,4.894285714285714,16.95563339171045,0.15002918855808522,1
Stove,0,9.35,2.87,9.9,8.0,2.61,4.34,6.27,0.65,6.19,991.64,37.959999999999994,5.422857142857142,26.12328767123288,0.47154899894625923,1
TV,3,9.89,6.51,6.56,9.04,4.21,0.3,8.89,7.73,8.23,841.24,44.96000000000001,6.422857142857144,18.710854092526688,0.3469750889679714,1
Air Conditioner,0,8.57,4.78,2.63,1.97,6.1,8.75,5.84,4.04,4.41,565.0,33.739999999999995,4.819999999999999,16.745702430349734,0.13633669235328988,1
iPhone 11,2,5.18,0.92,5.21,1.3,9.37,2.5,7.16,9.55,1.62,534.39,36.71,5.244285714285715,14.557068918550803,0.17733587578316534,1
Smartphone,2,1.41,4.47,0.86,1.26,6.33,8.99,9.92,9.91,3.46,118.18,40.73,5.8185714285714285,2.901546771421557,0.05205008593174565,0
Stove,0,2.05,7.96,9.68,6.93,9.09,8.38,0.26,1.68,1.91,624.24,37.92999999999999,5.418571428571427,16.45768520959663,0.4379119430529924,1
Vacuum Cleaner,1,2.09,8.89,8.79,6.58,6.13,8.89,2.52,7.44,7.92,579.02,48.27,6.895714285714286,11.995442303708307,0.3184172363787031,1
TV,3,1.35,6.11,2.66,4.76,6.56,8.92,2.96,1.48,6.77,212.62,34.11,4.872857142857143,6.233362650249194,0.21753151568454998,0
Microwave Oven,1,9.04,6.73,1.55,2.69,0.57,0.8,8.54,8.58,8.55,531.12,31.279999999999998,4.468571428571428,16.979539641943735,0.13554987212276218,1
Vacuum Cleaner,1,1.2,7.15,6.29,4.73,8.75,5.82,6.42,3.13,6.47,400.32,41.61,5.944285714285714,9.620764239365537,0.2648401826484018,1
TV,3,4.08,8.49,9.51,0.2,2.64,0.46,9.23,1.48,9.76,714.94,33.28,4.7542857142857144,21.482572115384617,0.29176682692307687,1
Vacuum Cleaner,1,9.38,9.46,7.55,7.88,4.44,4.31,6.77,3.7,7.63,871.0,42.28,6.04,20.600756859035005,0.36494796594134343,1
TV,3,8.91,5.84,1.25,8.98,4.86,6.4,2.54,2.83,3.36,508.31,30.22,4.317142857142857,16.820317670416944,0.3385175380542687,1
Iron,1,5.02,4.99,7.22,6.02,4.7,5.42,5.1,5.33,1.23,636.54,35.019999999999996,5.002857142857143,18.176470588235293,0.37806967447173045,1
Stove,0,3.69,0.33,2.15,3.84,6.95,4.02,8.21,5.99,7.54,296.87,38.7,5.528571428571429,7.671059431524547,0.15478036175710594,0
iPhone 11,2,4.56,0.52,3.62,8.16,5.98,9.85,1.2,4.24,6.71,418.59,39.76,5.68,10.527917505030182,0.2962776659959759,1
Vacuum Cleaner,1,1.54,0.51,7.06,9.85,3.86,9.51,8.04,8.14,1.93,454.47,48.39,6.912857142857143,9.39181649101054,0.34945236619136183,1
Vacuum Cleaner,1,8.17,7.16,9.46,3.51,5.12,5.86,8.62,5.29,3.74,912.6,41.6,5.942857142857143,21.9375,0.31177884615384616,1
Microwave Oven,1,0.91,7.0,3.32,7.04,6.9,3.3,4.83,0.39,8.54,226.77,34.32,4.902857142857143,6.6075174825174825,0.30186480186480186,0
Fridge,0,4.92,7.53,5.05,2.17,5.26,8.78,1.43,7.76,0.75,516.88,31.199999999999996,4.457142857142856,16.56666666666667,0.23141025641025642,1
Fridge,0,9.77,7.13,2.53,6.53,3.66,9.98,6.69,3.18,7.69,619.94,40.260000000000005,5.751428571428572,15.398410332836562,0.22503725782414305,1
iPhone 11,2,2.07,4.8,9.16,6.03,6.47,6.77,6.66,9.16,1.11,595.48,45.36,6.4799999999999995,13.127865961199294,0.3348765432098766,1
Vacuum Cleaner,1,6.51,5.11,5.18,7.37,6.47,4.87,7.91,9.06,7.85,600.53,48.71,6.958571428571429,12.328679942516937,0.25764730034900435,1
Audio Equipment,3,8.72,7.69,2.72,1.52,2.46,1.17,3.51,7.8,6.21,578.67,25.39,3.6271428571428572,22.79125640015754,0.16699487987396613,1
Laptop,2,7.62,9.82,7.29,7.73,1.46,8.72,6.91,7.52,8.39,770.83,48.019999999999996,6.859999999999999,16.052269887546856,0.3127863390254061,1
Stove,0,9.69,5.55,7.99,1.98,8.57,4.73,2.17,0.24,9.61,907.63,35.28999999999999,5.04142857142857,25.7191839047889,0.28251629356758295,1
Audio Equipment,3,2.17,9.8,8.4,3.43,9.44,6.99,6.85,4.41,0.41,562.58,39.92999999999999,5.704285714285713,14.089156023040324,0.2962684698221889,1
Air Conditioner,0,2.26,2.0,2.41,9.75,2.08,6.23,8.77,3.28,3.58,241.47,36.099999999999994,5.157142857142857,6.688919667590029,0.33684210526315794,0
Monitor,3,4.58,4.2,4.7,3.78,1.53,0.92,5.91,7.3,7.46,479.32,31.6,4.514285714285714,15.168354430379745,0.2683544303797468,1
Smartphone,2,4.72,5.37,4.09,1.57,3.94,0.87,5.9,4.86,8.02,454.22,29.249999999999996,4.178571428571428,15.528888888888892,0.19350427350427354,1
Stove,0,0.45,5.0,8.95,0.41,5.01,4.44,9.36,7.17,9.83,504.68,45.169999999999995,6.452857142857142,11.17290236882887,0.2072171795439451,1
Washing Machine,0,4.38,5.25,4.28,9.57,0.53,8.48,1.47,2.03,2.44,447.72,28.8,4.114285714285715,15.545833333333334,0.4809027777777778,1
Smartphone,2,6.25,6.07,1.42,7.86,1.46,6.74,0.92,8.46,8.27,386.81,35.13000000000001,5.01857142857143,11.0108169655565,0.2641616851693709,1
Laptop,2,6.46,9.2,1.66,1.4,7.81,2.91,8.28,6.37,9.82,411.8,38.25,5.464285714285714,10.766013071895426,0.07999999999999999,1
Speaker,3,1.36,2.9,7.07,7.43,2.52,7.82,7.54,7.82,6.76,447.49,46.96,6.708571428571429,9.529173764906304,0.30877342419080067,1
Microwave Oven,1,1.8,3.37,5.69,2.36,9.36,8.19,8.71,1.46,8.12,395.54,43.89,6.2700000000000005,9.012075643654592,0.18341307814992028,1
Washing Machine,0,4.71,2.69,3.33,3.12,5.87,6.46,4.93,5.69,9.79,411.6,39.19,5.598571428571428,10.50267925491197,0.16458280173513654,1
Air Conditioner,0,2.95,4.44,5.65,2.71,9.8,4.23,6.83,9.74,9.65,450.44,48.61,6.944285714285714,9.266406089282041,0.17198107385311664,1
Audio Equipment,3,5.12,5.29,8.09,9.03,0.85,3.95,8.42,9.19,3.23,688.16,42.75999999999999,6.108571428571428,16.093545369504213,0.40037418147801684,1
Speaker,3,1.18,0.57,1.78,5.14,0.85,5.18,6.11,7.21,5.67,153.79,31.939999999999998,4.562857142857142,4.814965560425798,0.21665623043206012,0
Stove,0,9.09,3.59,0.42,3.66,1.16,6.05,1.29,1.01,7.07,471.34,20.659999999999997,2.951428571428571,22.814133591481127,0.19748305905130692,1
Audio Equipment,3,7.7,8.42,1.14,4.43,5.81,3.64,7.8,9.78,3.31,444.4,35.910000000000004,5.130000000000001,12.37538290169869,0.15510999721526034,1
Microwave Oven,1,6.12,1.61,8.4,4.26,0.28,4.23,5.81,2.86,7.66,751.8,33.5,4.785714285714286,22.441791044776117,0.37791044776119403,1
Smartphone,2,3.2,1.14,5.15,5.12,6.14,5.27,2.65,9.42,3.61,434.01,37.36,5.337142857142857,11.616970021413277,0.27489293361884365,1
Microwave Oven,1,0.26,1.37,1.22,9.75,2.56,2.48,8.51,7.74,1.19,79.01,33.45,4.778571428571429,2.36203288490284,0.3279521674140508,0
Toaster,1,7.99,4.15,6.94,0.17,2.54,5.45,0.59,9.22,1.54,766.96,26.450000000000003,3.778571428571429,28.99659735349716,0.26880907372400753,1
Stove,0,7.52,7.98,2.45,9.22,7.27,2.35,4.47,1.93,9.55,505.49,37.24,5.32,13.573845327604726,0.3133727175080559,1
Smartphone,2,6.52,7.25,7.2,3.94,6.35,7.34,9.5,5.06,1.26,710.53,40.65,5.807142857142857,17.47921279212792,0.2740467404674047,1
iPhone 11,2,6.76,4.21,8.8,0.46,9.74,0.33,8.53,8.57,7.66,806.23,44.09,6.298571428571429,18.286005897028804,0.21002494896802,1
Air Conditioner,0,2.98,2.52,7.56,0.4,4.06,9.11,0.43,5.38,1.75,553.17,28.689999999999998,4.098571428571428,19.28093412338794,0.27744858835831304,1
Speaker,3,8.05,8.95,7.64,6.55,9.3,5.48,5.58,7.74,7.77,810.26,50.06,7.151428571428572,16.185777067518977,0.28345984818218134,1
Microwave Oven,1,5.06,6.17,4.2,8.09,4.41,4.6,7.98,0.52,4.26,477.35,34.059999999999995,4.865714285714285,14.014973576042282,0.36083382266588376,1
Smartphone,2,2.01,9.73,1.63,6.55,0.12,6.34,7.26,3.43,2.57,191.8,27.9,3.9857142857142853,6.874551971326166,0.2931899641577061,0
Monitor,3,5.83,4.9,0.64,4.01,2.72,9.78,0.37,8.79,4.67,323.78,30.979999999999997,4.425714285714285,10.451258876694641,0.1500968366688186,1
TV,3,9.53,4.01,3.03,4.85,8.79,9.41,1.01,3.39,1.33,633.21,31.810000000000002,4.5442857142857145,19.90600440113172,0.2477208425023577,1
Washing Machine,0,2.53,0.67,6.38,8.28,7.93,4.74,5.5,7.72,2.21,466.74,42.76,6.1085714285714285,10.915341440598691,0.34284377923292797,1
Vacuum Cleaner,1,9.11,4.17,3.23,0.1,3.35,0.81,3.01,2.32,4.12,623.15,16.94,2.4200000000000004,36.785714285714285,0.19657615112160565,1
Laptop,2,6.78,7.0,5.3,3.54,2.99,2.89,6.14,2.86,8.83,621.23,32.55,4.6499999999999995,19.08540706605223,0.27158218125960065,1
Stove,0,2.13,3.45,9.81,6.32,8.8,2.17,5.25,8.0,0.38,632.43,40.730000000000004,5.818571428571429,15.527375398968816,0.3960225877731402,1
Monitor,3,4.23,8.0,8.78,8.63,0.4,7.31,3.77,9.72,8.39,683.01,47.0,6.714285714285714,14.532127659574467,0.37042553191489364,1
Air Conditioner,0,0.27,8.86,1.62,1.61,2.25,3.64,4.89,7.64,3.42,105.24,25.07,3.5814285714285714,4.197846031112884,0.1288392500997208,0
Speaker,3,4.68,2.09,8.62,9.41,2.25,7.63,9.34,3.88,6.89,693.2,48.02,6.86,14.435651811745107,0.37546855476884633,1
Washing Machine,0,9.14,1.89,4.88,7.6,6.66,2.28,9.9,9.61,1.25,711.8,42.18,6.025714285714286,16.87529634898056,0.2958748221906117,1
Smartphone,2,1.27,7.99,2.32,0.38,1.19,7.27,6.24,4.01,2.09,191.44,23.499999999999996,3.3571428571428568,8.146382978723405,0.1148936170212766,0
Smartphone,2,2.39,3.31,2.7,9.3,5.44,5.35,0.82,1.93,1.51,264.18,27.05,3.8642857142857143,9.766358595194085,0.4436229205175601,0
Smartphone,2,5.15,5.26,4.77,1.39,5.87,3.72,3.43,9.87,5.23,511.8,34.28,4.897142857142858,14.929988331388564,0.17969661610268375,1
Toaster,1,5.25,9.11,5.52,6.93,2.05,1.77,5.48,9.88,2.55,559.01,34.18,4.882857142857143,16.354885898186073,0.36424809830310123,1
iPhone 11,2,8.51,0.53,7.38,2.81,4.27,8.24,9.37,4.21,6.42,814.09,42.7,6.1000000000000005,19.06533957845433,0.23864168618266976,1
Toaster,1,5.12,9.31,0.8,6.59,0.98,8.02,0.54,3.38,3.46,299.94,23.77,3.3957142857142855,12.618426588136307,0.3108960875052587,0
Microwave Oven,1,3.83,9.26,6.54,2.86,4.15,0.28,0.3,9.42,1.84,543.98,25.39,3.6271428571428572,21.424970460811345,0.37022449783379285,1
Washing Machine,0,0.17,2.17,9.79,2.59,4.84,3.13,3.09,5.64,1.29,534.28,30.369999999999997,4.338571428571428,17.592360882449785,0.40763911755021404,1
Microwave Oven,1,5.42,5.33,9.45,7.04,6.24,4.16,1.17,8.94,1.74,775.88,38.739999999999995,5.534285714285714,20.02787816210635,0.4256582343830666,1
Fridge,0,9.53,5.09,1.55,2.39,9.47,3.22,1.22,9.17,8.63,554.43,35.65,5.0928571428571425,15.552033660589059,0.11051893408134644,1
Air Conditioner,0,7.46,3.36,5.79,8.49,3.37,8.03,7.45,0.95,6.0,678.91,40.080000000000005,5.725714285714287,16.93887225548902,0.3562874251497006,1
TV,3,3.54,7.13,4.47,1.78,5.07,0.16,9.34,0.51,1.07,417.61,22.400000000000002,3.2,18.64330357142857,0.2790178571428571,1
Stove,0,4.54,9.33,2.45,9.84,6.73,4.59,0.24,7.55,1.24,359.88,32.64,4.662857142857143,11.025735294117647,0.37653186274509803,1
Speaker,3,8.0,6.06,3.77,9.63,3.6,2.47,2.0,5.46,7.47,598.66,34.4,4.914285714285714,17.402906976744188,0.38953488372093026,1
Vacuum Cleaner,1,0.11,8.82,2.7,7.65,8.93,3.37,3.69,5.07,5.11,155.32,36.52,5.217142857142858,4.253012048192771,0.28340635268346115,0
Washing Machine,0,0.7,1.12,4.85,9.77,9.52,3.72,1.89,7.92,2.63,295.11,40.300000000000004,5.757142857142858,7.322828784119106,0.3627791563275434,0
Washing Machine,0,5.37,5.08,5.74,5.21,0.28,8.37,8.5,7.95,3.74,574.49,39.79,5.684285714285714,14.438049761246544,0.27519477255591857,1
Monitor,3,9.96,1.31,6.5,6.03,3.85,7.78,3.85,9.74,4.15,838.62,41.900000000000006,5.985714285714287,20.014797136038183,0.2990453460620525,1
Air Conditioner,0,0.1,0.3,5.1,2.88,9.6,6.15,7.04,6.9,6.03,278.6,43.699999999999996,6.242857142857142,6.375286041189932,0.1826086956521739,0
Smartphone,2,2.41,2.43,8.76,6.2,0.68,7.71,5.25,7.98,8.2,589.33,44.78,6.397142857142858,13.160562751228227,0.3340777132648504,1
Toaster,1,5.41,4.44,5.84,5.83,5.37,3.94,4.28,6.74,6.6,581.43,38.6,5.514285714285714,15.062953367875647,0.30233160621761657,1
Microwave Oven,1,8.93,6.02,5.94,5.08,1.72,5.57,5.08,8.18,8.31,760.63,39.88,5.6971428571428575,19.07296890672016,0.2763289869608826,1
Smartphone,2,7.18,1.51,2.66,0.93,2.2,9.7,0.42,8.17,1.09,496.4,25.169999999999998,3.5957142857142856,19.721891140246324,0.14263011521652763,1
Audio Equipment,3,7.26,9.96,5.64,4.92,6.67,9.07,5.22,9.66,7.06,664.89,48.239999999999995,6.891428571428571,13.782960199004977,0.21890547263681592,1
Iron,1,9.82,8.94,6.69,2.53,0.52,3.12,1.03,5.17,6.66,846.16,25.72,3.674285714285714,32.89891135303266,0.35847589424572324,1
Speaker,3,0.21,5.74,3.0,3.61,5.87,7.7,2.49,2.51,8.36,174.58,33.54,4.791428571428571,5.205128205128205,0.19707811568276684,0
Toaster,1,5.61,6.77,4.8,4.47,5.12,0.58,6.01,5.03,4.63,536.8,30.64,4.377142857142857,17.519582245430808,0.3025456919060052,1
Toaster,1,7.05,1.1,5.21,4.2,7.07,9.4,6.59,8.54,4.28,626.47,45.29,6.47,13.832413336277325,0.2077721351291676,1
Fridge,0,0.77,9.63,7.63,4.31,9.21,6.47,9.8,6.77,0.84,452.43,45.03,6.432857142857143,10.047301798800799,0.26515656229180545,1
Toaster,1,7.0,9.55,1.53,5.64,6.85,0.97,7.66,3.45,8.71,431.52,34.81,4.972857142857143,12.39643780522838,0.2059752944556162,1
Toaster,1,9.27,0.31,6.62,3.99,7.21,8.06,8.44,0.41,8.11,810.63,42.839999999999996,6.119999999999999,18.922268907563026,0.24766573295985062,1
Toaster,1,0.75,4.9,3.26,9.74,5.13,1.27,3.45,1.6,7.27,214.43,31.72,4.531428571428571,6.760088272383355,0.4098360655737705,0
Vacuum Cleaner,1,2.26,0.36,0.49,2.16,9.31,4.64,1.61,0.28,1.45,137.72,19.94,2.8485714285714288,6.906720160481444,0.1328986960882648,0
Stove,0,7.3,6.59,3.96,7.16,1.81,9.5,4.58,7.74,2.72,574.85,37.47,5.352857142857142,15.341606618628237,0.29677074993328,1
Speaker,3,9.33,7.46,5.9,4.44,6.17,8.96,7.54,5.75,1.4,779.09,40.16,5.737142857142857,19.399651394422314,0.25747011952191234,1
Microwave Oven,1,7.16,4.29,7.22,8.19,4.19,0.41,8.51,7.24,6.85,741.19,42.61000000000001,6.087142857142858,17.394743018070873,0.361652194320582,1
Fridge,0,4.65,2.17,7.33,9.19,1.61,9.18,3.17,5.19,5.6,622.67,41.269999999999996,5.895714285714285,15.08771504724982,0.40029076811243036,1
Fridge,0,4.15,0.44,8.66,8.16,2.9,9.5,3.66,7.72,0.19,668.4,40.78999999999999,5.827142857142856,16.386369208139254,0.41235596960039234,1
Toaster,1,6.95,4.54,7.91,8.05,7.01,0.72,1.65,6.63,1.56,768.03,33.529999999999994,4.789999999999999,22.905756039367734,0.4759916492693112,1
Toaster,1,6.9,3.13,5.95,2.32,0.34,5.4,4.05,4.26,6.74,659.74,29.060000000000002,4.151428571428572,22.702684101858225,0.28458362009635235,1
Audio Equipment,3,6.23,7.45,9.98,4.85,2.8,5.21,6.25,4.24,8.69,845.26,42.019999999999996,6.002857142857143,20.11565920990005,0.3529271775345074,1
Speaker,3,4.47,8.79,2.59,9.96,6.17,6.85,1.87,2.95,7.53,363.66,37.92,5.417142857142857,9.590189873417721,0.33095991561181437,1
Toaster,1,1.92,3.15,8.2,2.22,4.26,8.21,7.45,6.99,6.66,535.72,43.989999999999995,6.284285714285714,12.178222323255287,0.23687201636735625,1
TV,3,9.17,2.32,9.16,3.57,9.11,1.29,5.39,2.17,4.16,942.86,34.849999999999994,4.978571428571428,27.054806312769013,0.36527977044476334,1
iPhone 11,2,6.39,4.46,7.3,0.38,6.21,2.7,5.52,0.41,8.16,707.81,30.68,4.382857142857143,23.070730117340286,0.2503259452411995,1
Microwave Oven,1,1.63,0.71,9.18,5.54,4.29,0.67,8.77,8.38,8.44,572.44,45.269999999999996,6.467142857142856,12.645018776231502,0.325160150209852,1
Monitor,3,9.81,7.75,7.87,9.08,8.06,0.99,6.35,0.77,0.17,908.28,33.29,4.755714285714285,27.28386902973866,0.5091619104836287,1
Tablet,2,2.74,5.28,6.52,3.95,9.06,4.19,0.21,0.14,1.71,487.21,25.780000000000005,3.6828571428571437,18.898758727695885,0.40612878200155145,1
TV,3,4.57,8.78,9.31,7.29,7.49,8.55,2.25,3.67,3.24,728.69,41.800000000000004,5.971428571428572,17.432775119617226,0.39712918660287083,1
Monitor,3,3.92,8.87,0.48,8.85,4.89,2.93,1.33,7.48,0.34,223.54,26.299999999999997,3.7571428571428567,8.499619771863118,0.35475285171102666,0
iPhone 11,2,3.4,5.02,9.72,4.12,2.7,2.87,1.16,1.32,7.68,690.84,29.57,4.224285714285714,23.362867771389922,0.4680419343929658,1
iPhone 11,2,6.88,4.6,7.86,3.1,1.76,2.56,6.89,3.58,1.6,761.91,27.35,3.9071428571428575,27.85776965265082,0.4007312614259598,1
Washing Machine,0,7.51,7.91,0.18,0.16,9.17,3.9,7.17,9.05,1.76,383.39,31.39,4.484285714285714,12.213762344695763,0.010831474992035678,1
Smartphone,2,6.18,3.39,5.54,9.88,0.78,1.07,8.33,0.36,4.02,602.47,29.98,4.282857142857143,20.09573048699133,0.5143428952635091,1
Smartphone,2,5.35,1.64,8.38,8.29,0.47,0.23,2.86,7.99,0.13,712.84,28.349999999999998,4.05,25.144268077601414,0.5880070546737215,1
Audio Equipment,3,7.76,7.35,6.28,6.25,5.61,6.09,0.9,1.97,8.14,722.19,35.239999999999995,5.034285714285714,20.49347332576618,0.35556186152099895,1
Tablet,2,1.05,6.9,1.48,1.11,9.97,8.65,5.17,3.12,9.42,135.15,38.92,5.5600000000000005,3.472507708119219,0.06654676258992805,0
Audio Equipment,3,1.67,6.8,2.07,2.08,7.57,3.97,9.52,4.55,1.96,197.05,31.720000000000002,4.531428571428572,6.2121689785624215,0.13083228247162673,0
Tablet,2,0.87,3.4,4.64,4.52,2.16,4.3,0.28,5.94,0.81,293.42,22.65,3.2357142857142853,12.954525386313467,0.40441501103752764,0
